RacerID,Course,RacesRun,QuinellaRate,TrifectaRate,FirstPlaceRate,AvgStartTiming,Nige,Makuri,Sashi
2014,1,1013,51.1,67.8,27.5,0.16,246,0,0
2014,2,1034,38.4,58.4,14.2,0.17,0,31,94
2014,3,1057,27.6,46.9,10.6,0.18,0,29,32
2014,4,1057,29.7,52.9,13.5,0.17,0,50,29
2014,5,1077,21.9,44.3,7.4,0.16,0,21,13
2014,6,854,13.1,31.0,3.2,0.19,0,2,5
2380,1,2200,51.6,67.2,30.4,0.16,609,1,0
2380,2,1701,34.5,50.3,15.4,0.18,0,158,82
2380,3,323,26.0,43.3,13.6,0.19,0,25,9
2380,4,52,26.9,50.0,17.3,0.21,0,4,2
2380,5,27,18.5,48.1,7.4,0.22,0,1,0
2380,6,24,20.8,41.6,0.0,0.2,0,0,0
2505,1,753,33.7,54.4,14.7,0.22,98,0,0
2505,2,919,25.7,51.1,10.1,0.23,0,30,44
2505,3,925,19.5,40.4,7.7,0.23,0,36,17
2505,4,766,21.4,44.6,7.9,0.23,0,31,15
2505,5,458,15.5,33.8,3.9,0.23,0,5,5
2505,6,155,8.3,30.9,1.2,0.25,0,1,0
2538,1,1101,42.3,60.4,21.6,0.19,191,0,0
2538,2,1441,33.5,55.6,12.2,0.2,0,46,96
2538,3,1233,25.0,46.8,8.6,0.2,0,29,23
2538,4,844,17.6,38.8,5.2,0.2,0,12,9
2538,5,569,12.3,32.5,2.6,0.21,0,1,1
2538,6,452,7.5,24.3,1.3,0.23,0,2,0
2568,1,839,47.2,65.5,25.9,0.19,182,0,0
2568,2,899,35.1,54.5,16.3,0.19,0,40,83
2568,3,727,25.3,44.1,9.0,0.21,0,18,21
2568,4,679,23.5,43.4,9.1,0.21,0,15,11
2568,5,664,17.6,35.8,4.9,0.22,0,7,10
2568,6,394,13.7,31.4,2.7,0.22,0,0,4
2596,1,825,39.1,56.8,18.7,0.18,132,2,1
2596,2,963,29.2,48.8,12.6,0.19,0,54,46
2596,3,812,24.7,44.0,9.3,0.19,0,25,14
2596,4,674,20.9,38.2,10.0,0.19,0,29,12
2596,5,361,16.6,35.7,4.9,0.2,0,9,1
