RacerID,Venue,local_win_rate
2538,01,4.91
2538,02,5.03
2538,03,5.7
2538,04,5.01
2538,05,4.68
2538,06,4.79
2538,07,4.93
2538,08,4.79
2538,09,5.1
2538,10,5.0
2538,11,5.1
2538,12,4.83
2538,13,5.36
2538,14,5.01
2538,15,5.01
2538,16,5.03
2538,17,5.34
2538,18,4.93
2538,19,5.75
2538,20,4.38
2538,21,4.51
2538,22,5.0
2538,23,4.91
2538,24,5.12
2878,01,6.14
2878,02,6.16
2878,03,6.43
2878,04,6.1
2878,05,5.76
2878,06,6.11
2878,07,5.89
2878,08,6.04
2878,09,5.89
2878,10,6.27
2878,11,6.18
2878,12,6.23
2878,13,6.17
2878,14,5.79
2878,15,6.01
2878,16,6.14
2878,17,5.92
2878,18,6.31
2878,19,5.6
2878,20,6.08
2878,21,5.77
2878,22,6.19
2878,23,6.39
2878,24,5.37
3024,01,7.97
3024,02,6.92
3024,03,6.98
3024,04,7.33
3024,05,6.72
3024,06,6.9
3024,07,6.91
3024,08,7.28
3024,09,7.29
3024,10,7.97
3024,11,6.82
3024,12,7.14
3024,13,6.96
3024,14,7.38
3024,15,7.2
3024,16,6.98
3024,17,7.36
3024,18,7.75
3024,19,6.94
3024,20,7.46
3024,21,6.7
3024,22,7.14
3024,23,7.32
3024,24,7.31
3054,01,6.1
3054,02,6.68
3054,03,6.58
3054,04,6.65
3054,05,6.18
3054,06,6.31
3054,07,5.94
3054,08,7.41
3054,09,6.6
3054,10,6.73
3054,11,6.75
3054,12,6.4
3054,13,6.33
3054,14,6.32
3054,15,6.3
3054,16,5.9
3054,17,6.48
3054,18,6.17
3054,19,6.35
3054,20,6.73
3054,21,6.6
3054,22,6.44
3054,23,6.32
3054,24,6.65
3070,01,7.16
3070,02,6.79
3070,03,7.33
3070,04,6.79
3070,05,7.04
3070,06,7.0
3070,07,6.96
3070,08,6.75
3070,09,7.37
3070,10,7.09
3070,11,6.76
3070,12,7.17
3070,13,6.97
3070,14,6.72
3070,15,7.07
3070,16,7.08
3070,17,8.61
3070,18,6.78
3070,19,6.67
3070,20,6.71
3070,21,6.5
3070,22,6.52
3070,23,6.77
3070,24,6.83
3072,01,6.19
3072,02,5.89
3072,03,6.19
3072,04,6.42
3072,05,6.07
3072,06,6.52
3072,07,6.23
3072,08,6.05
3072,09,6.32
3072,10,6.76
3072,11,6.18
3072,12,5.84
3072,13,6.51
3072,14,6.15
3072,15,6.08
3072,16,5.96
3072,17,6.27
3072,18,6.83
3072,19,5.93
3072,20,6.79
3072,21,6.28
3072,22,6.47
3072,23,6.71
3072,24,7.25
3075,01,6.02
3075,02,6.03
3075,03,6.21
3075,04,6.22
3075,05,5.71
3075,06,6.12
3075,07,6.26
3075,08,6.13
3075,09,6.29
3075,10,5.83
3075,11,6.0
3075,12,5.61
3075,13,6.13
3075,14,5.59
3075,15,5.81
3075,16,5.88
3075,17,5.98
3075,18,6.27
3075,19,6.23
3075,20,6.06
3075,21,5.86
3075,22,6.17
3075,23,6.08
3075,24,6.01
3081,01,6.86
3081,02,6.83
3081,03,6.52
3081,04,7.0
3081,05,6.94
3081,06,6.84
3081,07,6.48
3081,08,7.02
3081,09,6.82
3081,10,6.81
3081,11,6.18
3081,12,6.9
3081,13,5.91
3081,14,6.03
3081,15,6.48
3081,16,6.26
3081,17,6.78
3081,18,8.41
3081,19,7.11
3081,20,6.78
3081,21,6.52
3081,22,6.57
3081,23,7.0
3081,24,6.6
3105,01,5.54
3105,02,5.34
3105,03,5.72
3105,04,5.7
3105,05,5.79
3105,06,5.51
3105,07,5.45
3105,08,5.24
3105,09,5.38
3105,10,5.49
3105,11,5.35
3105,12,5.49
3105,13,5.24
3105,14,5.68
3105,15,5.21
3105,16,5.5
3105,17,5.48
3105,18,5.82
3105,19,5.49
3105,20,5.03
3105,21,5.21
3105,22,5.58
3105,23,5.29
3105,24,5.36
3107,01,6.04
3107,02,6.04
3107,03,6.18
3107,04,5.87
3107,05,5.81
3107,06,5.64
3107,07,5.78
3107,08,5.57
3107,09,5.87
3107,10,5.81
3107,11,5.32
3107,12,5.98
3107,13,5.65
3107,14,5.93
3107,15,5.86
3107,16,5.51
3107,17,5.81
3107,18,5.9
3107,19,5.89
3107,20,5.56
3107,21,5.71
3107,22,5.91
3107,23,5.68
3107,24,5.31
3141,01,5.75
3141,02,5.55
3141,03,5.71
3141,04,5.65
3141,05,5.27
3141,06,5.15
3141,07,5.14
3141,08,5.09
3141,09,6.39
3141,10,5.49
3141,11,5.43
3141,12,5.32
3141,13,5.25
3141,14,5.28
3141,15,5.56
3141,16,5.47
3141,17,4.45
3141,18,5.54
3141,19,6.04
3141,20,5.61
3141,21,5.54
3141,22,5.51
3141,23,5.83
3141,24,5.99
3156,01,6.39
3156,02,6.44
3156,03,6.58
3156,04,5.94
3156,05,5.88
3156,06,6.62
3156,07,6.45
3156,08,6.56
3156,09,6.4
3156,10,6.87
3156,11,6.17
3156,12,5.99
3156,13,5.77
3156,14,6.58
3156,15,6.42
3156,16,6.34
3156,17,6.19
3156,18,6.8
3156,19,6.56
3156,20,6.3
3156,21,6.59
3156,22,6.58
3156,23,6.82
3156,24,6.3
3158,01,7.02
3158,02,6.52
3158,03,6.73
3158,04,6.25
3158,05,6.12
3158,06,6.49
3158,07,6.84
3158,08,6.08
3158,09,6.36
3158,10,6.83
3158,11,7.01
3158,12,6.15
3158,13,6.45
3158,14,6.43
3158,15,6.45
