venue_name,venue_code,course_number,rate_1st,rate_2nd,rate_3rd
桐生,1,1,47.8,18.1,9.9
桐生,1,2,15.7,22.0,18.0
桐生,1,3,13.1,20.9,21.7
桐生,1,4,14.3,17.8,20.0
桐生,1,5,9.1,14.8,20.0
桐生,1,6,0.8,7.5,11.7
戸田,2,1,46.6,15.9,11.0
戸田,2,2,13.4,21.3,20.6
戸田,2,3,15.7,20.1,15.7
戸田,2,4,12.6,20.0,19.6
戸田,2,5,10.0,13.9,17.3
戸田,2,6,3.1,10.1,16.9
江戸川,3,1,42.7,20.8,12.3
江戸川,3,2,18.7,22.3,20.5
江戸川,3,3,15.2,18.3,16.9
江戸川,3,4,15.4,15.2,19.2
江戸川,3,5,7.7,14.4,16.2
江戸川,3,6,1.9,10.5,16.4
平和島,4,1,44.0,21.6,8.8
平和島,4,2,18.9,23.5,19.5
平和島,4,3,12.8,16.8,18.2
平和島,4,4,12.4,19.8,20.6
平和島,4,5,7.6,10.6,15.2
平和島,4,6,5.1,8.6,18.7
多摩川,5,1,53.4,17.0,8.6
多摩川,5,2,16.3,25.8,19.2
多摩川,5,3,12.5,21.8,19.8
多摩川,5,4,12.0,17.1,17.3
多摩川,5,5,5.4,12.8,21.3
多摩川,5,6,1.7,6.6,14.8
浜名湖,6,1,46.8,20.9,9.0
浜名湖,6,2,15.9,22.0,18.4
浜名湖,6,3,16.3,18.3,18.5
浜名湖,6,4,12.4,18.6,21.7
浜名湖,6,5,7.8,15.3,19.6
浜名湖,6,6,1.9,5.8,13.8
蒲郡,7,1,56.4,14.5,10.1
蒲郡,7,2,11.6,27.4,18.8
蒲郡,7,3,12.7,21.0,18.5
蒲郡,7,4,12.4,19.3,21.0
蒲郡,7,5,6.9,13.1,18.5
蒲郡,7,6,0.8,5.8,14.3
常滑,8,1,55.6,15.9,9.6
常滑,8,2,14.6,26.2,18.8
常滑,8,3,11.7,22.7,19.0
常滑,8,4,11.7,18.4,20.0
常滑,8,5,6.2,12.0,19.6
常滑,8,6,1.5,5.6,14.0
津,9,1,56.7,19.2,8.4
津,9,2,16.7,23.6,18.3
津,9,3,12.5,22.6,22.3
津,9,4,10.3,18.2,20.5
津,9,5,3.7,10.9,17.7
津,9,6,1.1,6.7,14.0
三国,10,1,54.2,18.4,8.7
三国,10,2,13.7,27.0,21.0
三国,10,3,15.3,19.5,20.1
