venue_code,boat_number,venue_frame_win_rate
01,1,0.519
01,2,0.1353
01,3,0.1247
01,4,0.1145
01,5,0.072
01,6,0.0348
02,1,0.44079999999999997
02,2,0.1556
02,3,0.1625
02,4,0.136
02,5,0.0697
02,6,0.0351
03,1,0.43770000000000003
03,2,0.1863
03,3,0.1495
03,4,0.1255
03,5,0.0684
03,6,0.0322
04,1,0.4569
04,2,0.1712
04,3,0.13069999999999998
04,4,0.1192
04,5,0.0758
04,6,0.0458
05,1,0.5222
05,2,0.1588
05,3,0.1203
05,4,0.1132
05,5,0.0568
05,6,0.028999999999999998
06,1,0.5079
06,2,0.1571
06,3,0.1385
06,4,0.0899
06,5,0.0651
06,6,0.041299999999999996
07,1,0.5396
07,2,0.1215
07,3,0.1311
07,4,0.112
07,5,0.0627
07,6,0.0325
08,1,0.5687
08,2,0.1169
08,3,0.1158
08,4,0.0998
08,5,0.0624
08,6,0.0362
09,1,0.5783
09,2,0.1522
09,3,0.1163
09,4,0.0842
09,5,0.046900000000000004
09,6,0.022099999999999998
10,1,0.5429
10,2,0.153
10,3,0.1435
10,4,0.09
10,5,0.0431
10,6,0.0278
11,1,0.5607
11,2,0.1476
11,3,0.1168
11,4,0.1006
11,5,0.048
11,6,0.0256
12,1,0.5826
12,2,0.1448
12,3,0.1094
12,4,0.08850000000000001
12,5,0.0473
12,6,0.0273
13,1,0.5824
13,2,0.1207
13,3,0.1196
13,4,0.0941
13,5,0.0536
13,6,0.0292
14,1,0.47300000000000003
14,2,0.1631
14,3,0.1487
14,4,0.11
14,5,0.0735
14,6,0.0314
15,1,0.565
15,2,0.135
15,3,0.1218
15,4,0.0953
15,5,0.053
15,6,0.029500000000000002
16,1,0.5464
16,2,0.1377
16,3,0.1236
16,4,0.1003
16,5,0.0604
16,6,0.0318
17,1,0.578
17,2,0.134
17,3,0.1188
17,4,0.0898
17,5,0.054
17,6,0.025500000000000002
18,1,0.6315
18,2,0.1334
18,3,0.0931
18,4,0.0723
18,5,0.0457
18,6,0.0249
19,1,0.605
19,2,0.1196
19,3,0.094
19,4,0.0929
19,5,0.053
19,6,0.034999999999999996
20,1,0.5625
20,2,0.1245
20,3,0.1197
20,4,0.1005
20,5,0.055
20,6,0.038
21,1,0.6142
21,2,0.1142
21,3,0.1137
21,4,0.08360000000000001
21,5,0.0487
21,6,0.0257
22,1,0.5555
22,2,0.1533
22,3,0.146
22,4,0.0893
22,5,0.0382
22,6,0.0176
23,1,0.5365
23,2,0.1447
23,3,0.1339
23,4,0.097
23,5,0.0603
23,6,0.0274
24,1,0.624
24,2,0.1222
24,3,0.108
24,4,0.0779
24,5,0.0441
24,6,0.0238
